,JDGF,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,date,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,ma10,ma5,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-11-06 07:00:00+00:00,54.44,0.0,0.0,0.0,79.2057321372,4.91569360479,0.0,0.0,2017-11-06 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,52.36,52.36,0.0,0.0,0.0,[],2017-11-06 07:00:00+00:00,2017-11,2017-11-06 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,14,[],0.0
2017-11-07 07:00:00+00:00,54.69,0.0,0.0,0.0,97.7280371474,4.78678173014,0.0,0.0,2017-11-07 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,52.95,52.95,0.0,0.0,0.0,[],2017-11-07 07:00:00+00:00,2017-11,2017-11-07 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,15,[],0.0
2017-11-08 07:00:00+00:00,53.35,0.0,0.0,0.0,179.255082945,4.94017786191,0.0,0.0,2017-11-08 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,53.5433333333,53.5433333333,0.0,0.0,0.0,[],2017-11-08 07:00:00+00:00,2017-11,2017-11-08 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,16,[],0.0
2017-11-09 07:00:00+00:00,53.52,0.0,0.0,0.0,189.733188658,4.97703235877,0.0,0.0,2017-11-09 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,53.9933333333,53.9933333333,0.0,0.0,0.0,[],2017-11-09 07:00:00+00:00,2017-11,2017-11-09 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,17,[],0.0
2017-11-10 07:00:00+00:00,56.69,0.0,0.0,0.0,258.119783045,4.83028046998,0.0,0.0,2017-11-10 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,54.16,54.16,0.0,0.0,0.0,[],2017-11-10 07:00:00+00:00,2017-11,2017-11-10 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,18,[],0.0
2017-11-13 07:00:00+00:00,57.44,0.0,0.0,0.0,372.819626241,4.69777121621,0.0,0.0,2017-11-13 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,53.8533333333,53.8533333333,0.0,0.0,0.0,[],2017-11-13 07:00:00+00:00,2017-11,2017-11-13 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,19,[],0.0
2017-11-14 07:00:00+00:00,56.3,0.0,0.0,0.0,405.330185712,4.7013361647,0.0,0.0,2017-11-14 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,54.52,54.52,0.0,0.0,0.0,[],2017-11-14 07:00:00+00:00,2017-11,2017-11-14 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,20,[],0.0
2017-11-15 07:00:00+00:00,53.98,0.0,0.0,0.0,715.86651329,4.77215246878,0.0,0.0,2017-11-15 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,55.8833333333,55.8833333333,0.0,0.0,0.0,[],2017-11-15 07:00:00+00:00,2017-11,2017-11-15 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,21,[],0.0
2017-11-16 07:00:00+00:00,53.91,0.0,0.0,0.0,1339.62827347,4.92379400243,0.0,0.0,2017-11-16 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,56.81,56.81,0.0,0.0,0.0,[],2017-11-16 07:00:00+00:00,2017-11,2017-11-16 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,22,[],0.0
2017-11-17 07:00:00+00:00,52.18,0.0,0.0,0.0,1972.98088513,4.81379876809,0.0,0.0,2017-11-17 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,55.9066666667,55.9066666667,0.0,0.0,0.0,[],2017-11-17 07:00:00+00:00,2017-11,2017-11-17 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,23,[],0.0
